y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
208500,74528.0,8450.0,194870.88235294117,2003.0,61000.0,1.0,0.0,0.0,1710.0,0.0,0.0,0.0,548.0,121809.53333333334,337712.5,122196.89361702128,65.0,1.0,0.0,0.0,0.0,0.0
181500,74528.0,9600.0,194870.88235294117,1976.0,141986.4,0.0,0.0,0.0,1262.0,0.0,0.0,0.0,460.0,121809.53333333334,337712.5,122196.89361702128,80.0,0.0,0.0,0.0,0.0,0.0
223500,74528.0,11250.0,194870.88235294117,2001.0,141986.4,1.0,0.0,0.0,1786.0,0.0,0.0,0.0,608.0,121809.53333333334,337712.5,122196.89361702128,68.0,1.0,0.0,0.0,0.0,0.0
140000,74528.0,9550.0,194870.88235294117,1915.0,141986.4,0.0,0.0,0.0,1717.0,1.0,0.0,0.0,642.0,121809.53333333334,337712.5,122196.89361702128,60.0,1.0,0.0,0.0,0.0,0.0
250000,74528.0,14260.0,194870.88235294117,2000.0,141986.4,1.0,0.0,0.0,2198.0,0.0,0.0,0.0,836.0,121809.53333333334,337712.5,122196.89361702128,84.0,1.0,0.0,0.0,0.0,0.0
143000,74528.0,14115.0,194870.88235294117,1993.0,141986.4,0.0,0.0,0.0,1362.0,1.0,0.0,0.0,480.0,121809.53333333334,337712.5,122196.89361702128,85.0,0.0,0.0,0.0,0.0,0.0
307000,74528.0,10084.0,194870.88235294117,2004.0,101929.4,1.0,0.0,0.0,1694.0,0.0,0.0,0.0,636.0,121809.53333333334,337712.5,122196.89361702128,75.0,1.0,0.0,0.0,0.0,0.0
200000,74528.0,10382.0,194870.88235294117,1973.0,101929.4,0.0,0.0,0.0,2090.0,0.0,0.0,0.0,484.0,121809.53333333334,337712.5,122196.89361702128,90.13,0.0,0.0,0.0,0.0,0.0
129900,74528.0,6120.0,194870.88235294117,1931.0,101929.4,0.0,0.0,0.0,1774.0,0.0,0.0,0.0,468.0,121809.53333333334,337712.5,122196.89361702128,51.0,0.0,0.0,0.0,0.0,0.0
118000,74528.0,7420.0,194870.88235294117,1939.0,101929.4,0.0,0.0,0.0,1077.0,1.0,0.0,0.0,205.0,121809.53333333334,337712.5,122196.89361702128,50.0,0.0,0.0,0.0,0.0,0.0
129500,214014.06153846154,11200.0,194870.88235294117,1965.0,101929.4,0.0,0.0,0.0,1040.0,1.0,0.0,0.0,384.0,121809.53333333334,337712.5,122196.89361702128,70.0,0.0,0.0,0.0,0.0,0.0
345000,214014.06153846154,11924.0,194870.88235294117,2005.0,101929.4,0.0,1.0,0.0,2324.0,0.0,1.0,0.0,736.0,121809.53333333334,337712.5,122196.89361702128,85.0,0.0,1.0,0.0,0.0,0.0
144000,214014.06153846154,12968.0,194870.88235294117,1962.0,101929.4,0.0,0.0,0.0,912.0,1.0,0.0,0.0,352.0,121809.53333333334,337712.5,122196.89361702128,66.64,0.0,0.0,0.0,0.0,0.0
279500,214014.06153846154,10652.0,194870.88235294117,2006.0,101929.4,1.0,0.0,0.0,1494.0,0.0,0.0,0.0,840.0,121809.53333333334,337712.5,122196.89361702128,91.0,1.0,0.0,0.0,0.0,0.0
157000,214014.06153846154,10920.0,194870.88235294117,1960.0,101929.4,0.0,0.0,0.0,1253.0,1.0,0.0,0.0,352.0,121809.53333333334,337712.5,122196.89361702128,76.5,0.0,0.0,0.0,0.0,0.0
132000,214014.06153846154,6120.0,194870.88235294117,1929.0,101929.4,0.0,0.0,0.0,854.0,1.0,0.0,0.0,576.0,121809.53333333334,337712.5,122196.89361702128,51.0,0.0,0.0,0.0,0.0,0.0
149000,214014.06153846154,11241.0,194870.88235294117,1970.0,101929.4,0.0,0.0,0.0,1004.0,1.0,0.0,0.0,480.0,121809.53333333334,337712.5,122196.89361702128,77.75,0.0,0.0,0.0,0.0,0.0
90000,214014.06153846154,10791.0,137500.0,1967.0,101929.4,0.0,0.0,0.0,1296.0,0.0,0.0,0.0,516.0,121809.53333333334,337712.5,122196.89361702128,72.0,0.0,0.0,0.0,0.0,0.0
159000,214014.06153846154,13695.0,137500.0,2004.0,101929.4,0.0,0.0,0.0,1114.0,1.0,0.0,0.0,576.0,121809.53333333334,337712.5,122196.89361702128,66.0,1.0,0.0,0.0,0.0,0.0
139000,214014.06153846154,7560.0,104493.75,1958.0,101929.4,0.0,0.0,0.0,1339.0,1.0,0.0,0.0,294.0,121809.53333333334,337712.5,122196.89361702128,70.0,0.0,0.0,0.0,0.0,0.0
325300,214014.06153846154,14215.0,104493.75,2005.0,101929.4,1.0,0.0,0.0,2376.0,0.0,1.0,0.0,853.0,121809.53333333334,337712.5,122196.89361702128,101.0,1.0,0.0,0.0,0.0,0.0
139400,214014.06153846154,7449.0,104493.75,1930.0,101929.4,0.0,0.0,0.0,1108.0,1.0,0.0,0.0,280.0,121809.53333333334,337712.5,122196.89361702128,57.0,1.0,0.0,0.0,1.0,0.0
230000,214014.06153846154,9742.0,104493.75,2002.0,101929.4,1.0,0.0,0.0,1795.0,0.0,0.0,0.0,534.0,121809.53333333334,337712.5,122196.89361702128,75.0,1.0,0.0,0.0,0.0,0.0
129900,214014.06153846154,4224.0,104493.75,1976.0,101929.4,0.0,0.0,0.0,1060.0,1.0,0.0,0.0,572.0,121809.53333333334,337712.5,122196.89361702128,44.0,0.0,0.0,0.0,0.0,0.0
154000,214014.06153846154,8246.0,104493.75,1968.0,101929.4,0.0,0.0,0.0,1060.0,1.0,0.0,0.0,270.0,121809.53333333334,167298.48484848486,122196.89361702128,65.72,1.0,0.0,0.0,0.0,0.0
256300,214014.06153846154,14230.0,104493.75,2007.0,101929.4,1.0,0.0,0.0,1600.0,0.0,0.0,0.0,890.0,121809.53333333334,167298.48484848486,122196.89361702128,110.0,1.0,0.0,0.0,0.0,0.0
134800,214014.06153846154,7200.0,104493.75,1951.0,101929.4,0.0,0.0,0.0,900.0,1.0,0.0,0.0,576.0,121809.53333333334,167298.48484848486,122196.89361702128,60.0,1.0,0.0,0.0,0.0,0.0
306000,214014.06153846154,11478.0,104493.75,2007.0,101929.4,1.0,0.0,0.0,1704.0,0.0,0.0,0.0,772.0,121809.53333333334,167298.48484848486,122196.89361702128,98.0,1.0,0.0,0.0,0.0,0.0
207500,214014.06153846154,16321.0,104493.75,1957.0,101929.4,0.0,0.0,0.0,1600.0,1.0,0.0,0.0,319.0,121809.53333333334,167298.48484848486,122196.89361702128,47.0,0.0,0.0,0.0,0.0,0.0
68500,214014.06153846154,6324.0,104493.75,1927.0,101929.4,0.0,0.0,0.0,520.0,1.0,0.0,0.0,240.0,121809.53333333334,167298.48484848486,122196.89361702128,60.0,0.0,0.0,1.0,0.0,0.0
40000,214014.06153846154,8500.0,104493.75,1920.0,101929.4,0.0,0.0,0.0,1317.0,1.0,0.0,0.0,250.0,121809.53333333334,167298.48484848486,122196.89361702128,50.0,0.0,0.0,0.0,1.0,0.0
149350,214014.06153846154,8544.0,104493.75,1966.0,120438.43859649122,0.0,0.0,0.0,1228.0,1.0,0.0,0.0,271.0,121809.53333333334,167298.48484848486,122196.89361702128,76.28,1.0,0.0,0.0,0.0,0.0
179900,214014.06153846154,11049.0,104493.75,2007.0,120438.43859649122,1.0,0.0,0.0,1234.0,0.0,0.0,0.0,484.0,121809.53333333334,167298.48484848486,122196.89361702128,85.0,1.0,0.0,0.0,0.0,0.0
165500,214014.06153846154,10552.0,104493.75,1959.0,120438.43859649122,0.0,0.0,0.0,1700.0,1.0,0.0,0.0,447.0,121809.53333333334,167298.48484848486,122196.89361702128,70.0,1.0,0.0,0.0,0.0,0.0
277500,214014.06153846154,7313.0,104493.75,2005.0,120438.43859649122,0.0,1.0,0.0,1561.0,0.0,0.0,0.0,556.0,121809.53333333334,167298.48484848486,122196.89361702128,60.0,0.0,1.0,0.0,0.0,0.0
309000,214014.06153846154,13418.0,124834.05172413793,2004.0,120438.43859649122,1.0,0.0,0.0,2452.0,0.0,1.0,0.0,691.0,121809.53333333334,167298.48484848486,122196.89361702128,108.0,1.0,0.0,0.0,0.0,0.0
145000,214014.06153846154,10859.0,124834.05172413793,1994.0,120438.43859649122,0.0,0.0,0.0,1097.0,1.0,0.0,0.0,672.0,121809.53333333334,167298.48484848486,122196.89361702128,112.0,0.0,0.0,0.0,0.0,0.0
153000,214014.06153846154,8532.0,124834.05172413793,1954.0,120438.43859649122,0.0,0.0,0.0,1297.0,1.0,0.0,0.0,498.0,121809.53333333334,167298.48484848486,122196.89361702128,74.0,0.0,0.0,0.0,0.0,0.0
109000,214014.06153846154,7922.0,124834.05172413793,1953.0,120438.43859649122,0.0,0.0,0.0,1057.0,1.0,0.0,0.0,246.0,121809.53333333334,167298.48484848486,122196.89361702128,68.0,1.0,0.0,0.0,0.0,0.0
82000,214014.06153846154,6040.0,124834.05172413793,1955.0,120438.43859649122,0.0,0.0,0.0,1152.0,0.0,0.0,0.0,0.0,121809.53333333334,167298.48484848486,122196.89361702128,65.0,0.0,0.0,1.0,1.0,0.0
