x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
131558.375,11622.0,145847.08,1961.0,153961.59126984127,0.0,0.0,0.0,896.0,1.0,0.0,0.0,730.0,183632.6209000763,141331.48260869566,186825.1131934033,80.0,0.0,0.0,0.0,0.0,0.0
131558.375,14267.0,145847.08,1958.0,153961.59126984127,0.0,0.0,0.0,1329.0,1.0,0.0,0.0,312.0,183632.6209000763,141331.48260869566,186825.1131934033,81.0,1.0,0.0,0.0,0.0,0.0
131558.375,13830.0,145847.08,1997.0,153961.59126984127,0.0,0.0,0.0,1629.0,0.0,0.0,0.0,482.0,183632.6209000763,141331.48260869566,186825.1131934033,74.0,0.0,0.0,0.0,0.0,0.0
131558.375,9978.0,145847.08,1998.0,153961.59126984127,0.0,0.0,0.0,1604.0,0.0,0.0,0.0,470.0,183632.6209000763,141331.48260869566,186825.1131934033,78.0,1.0,0.0,0.0,0.0,0.0
131558.375,5005.0,145847.08,1992.0,153961.59126984127,1.0,0.0,0.0,1280.0,0.0,0.0,0.0,506.0,183632.6209000763,141331.48260869566,186825.1131934033,43.0,1.0,0.0,0.0,0.0,0.0
131558.375,10000.0,145847.08,1993.0,153961.59126984127,0.0,0.0,0.0,1655.0,0.0,0.0,0.0,440.0,183632.6209000763,141331.48260869566,186825.1131934033,75.0,0.0,0.0,0.0,0.0,0.0
131558.375,7980.0,145847.08,1992.0,153961.59126984127,0.0,0.0,0.0,1187.0,0.0,0.0,0.0,420.0,183632.6209000763,141331.48260869566,186825.1131934033,60.5,0.0,0.0,0.0,0.0,0.0
131558.375,8402.0,145847.08,1998.0,153961.59126984127,0.0,0.0,0.0,1465.0,0.0,0.0,0.0,393.0,183632.6209000763,141331.48260869566,186825.1131934033,63.0,0.0,0.0,0.0,0.0,0.0
131558.375,10176.0,145847.08,1990.0,153961.59126984127,0.0,0.0,0.0,1341.0,1.0,0.0,0.0,506.0,183632.6209000763,141331.48260869566,186825.1131934033,85.0,1.0,0.0,0.0,0.0,0.0
131558.375,8400.0,145847.08,1970.0,153961.59126984127,0.0,0.0,0.0,882.0,1.0,0.0,0.0,525.0,183632.6209000763,141331.48260869566,186825.1131934033,70.0,0.0,0.0,0.0,0.0,0.0
131558.375,5858.0,145847.08,1999.0,153961.59126984127,1.0,0.0,0.0,1337.0,0.0,0.0,0.0,511.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,1.0,0.0,0.0,0.0,0.0
131558.375,1680.0,145847.08,1971.0,153961.59126984127,0.0,0.0,0.0,987.0,1.0,0.0,0.0,264.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,0.0,0.0,0.0,0.0,0.0
131558.375,1680.0,145847.08,1971.0,153961.59126984127,0.0,0.0,0.0,1092.0,1.0,0.0,0.0,320.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,0.0,0.0,0.0,0.0,0.0
131558.375,2280.0,145847.08,1975.0,153961.59126984127,0.0,0.0,0.0,1456.0,0.0,0.0,0.0,440.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,1.0,0.0,0.0,0.0,0.0
131558.375,2280.0,145847.08,1975.0,153961.59126984127,0.0,0.0,0.0,836.0,1.0,0.0,0.0,308.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,0.0,0.0,0.0,0.0,0.0
131558.375,12858.0,145847.08,2009.0,153961.59126984127,0.0,1.0,0.0,2334.0,0.0,0.0,0.0,751.0,183632.6209000763,141331.48260869566,186825.1131934033,102.0,0.0,1.0,0.0,0.0,0.0
191004.9947871416,12883.0,145847.08,2009.0,153961.59126984127,1.0,0.0,0.0,1544.0,0.0,0.0,0.0,868.0,183632.6209000763,141331.48260869566,186825.1131934033,94.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,11520.0,145847.08,2005.0,153961.59126984127,1.0,0.0,0.0,1698.0,0.0,0.0,0.0,730.0,183632.6209000763,141331.48260869566,186825.1131934033,90.0,0.0,1.0,0.0,0.0,0.0
191004.9947871416,14122.0,145847.08,2005.0,153961.59126984127,1.0,0.0,0.0,1822.0,0.0,0.0,0.0,678.0,183632.6209000763,141331.48260869566,186825.1131934033,79.0,0.0,1.0,0.0,0.0,0.0
191004.9947871416,14300.0,145847.08,2003.0,153961.59126984127,0.0,1.0,0.0,2696.0,0.0,0.0,0.0,938.25,183632.6209000763,141331.48260869566,186825.1131934033,107.5,0.0,1.0,0.0,0.0,0.0
191004.9947871416,13650.0,145847.08,2002.0,153961.59126984127,1.0,0.0,0.0,2250.0,0.0,0.0,0.0,756.0,183632.6209000763,141331.48260869566,186825.1131934033,105.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,7132.0,145847.08,2006.0,153961.59126984127,1.0,0.0,0.0,1370.0,0.0,0.0,0.0,484.0,183632.6209000763,141331.48260869566,186825.1131934033,41.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,17673.5,145847.08,2005.0,153961.59126984127,1.0,0.0,0.0,1324.0,0.0,0.0,0.0,430.0,183632.6209000763,141331.48260869566,186825.1131934033,100.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,3203.0,145847.08,2006.0,153961.59126984127,1.0,0.0,0.0,1145.0,0.0,0.0,0.0,437.0,183632.6209000763,141331.48260869566,186825.1131934033,43.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,13300.0,145847.08,2004.0,153961.59126984127,1.0,0.0,0.0,1374.0,0.0,0.0,0.0,400.0,183632.6209000763,141331.48260869566,186825.1131934033,67.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,8577.0,145847.08,2004.0,153961.59126984127,1.0,0.0,0.0,1733.0,0.0,0.0,0.0,433.0,183632.6209000763,141331.48260869566,186825.1131934033,63.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,17433.0,145847.08,1998.0,153961.59126984127,1.0,0.0,0.0,2475.0,0.0,0.0,0.0,938.25,183632.6209000763,141331.48260869566,186825.1131934033,60.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,8987.0,145847.08,2005.0,153961.59126984127,1.0,0.0,0.0,1595.0,0.0,0.0,0.0,880.0,183632.6209000763,141331.48260869566,186825.1131934033,73.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,9215.0,145847.08,2009.0,153961.59126984127,1.0,0.0,0.0,1218.0,0.0,0.0,0.0,676.0,183632.6209000763,141331.48260869566,186825.1131934033,92.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,10440.0,145847.08,2005.0,153961.59126984127,1.0,0.0,0.0,1468.0,0.0,0.0,0.0,528.0,183632.6209000763,141331.48260869566,186825.1131934033,84.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,11920.0,145847.08,2004.0,153961.59126984127,1.0,0.0,0.0,1659.0,0.0,0.0,0.0,484.0,183632.6209000763,141331.48260869566,186825.1131934033,70.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,9800.0,145847.08,1920.0,153961.59126984127,0.0,0.0,0.0,1012.0,1.0,0.0,0.0,429.0,183632.6209000763,141331.48260869566,186825.1131934033,70.0,0.0,0.0,0.0,0.0,0.0
191004.9947871416,15410.0,145847.08,1974.0,153961.59126984127,0.0,0.0,0.0,1494.0,0.0,0.0,0.0,461.0,183632.6209000763,141331.48260869566,186825.1131934033,39.0,0.0,0.0,0.0,0.0,0.0
191004.9947871416,13143.0,145847.08,1993.0,153961.59126984127,1.0,0.0,0.0,2349.0,0.0,0.0,0.0,762.0,183632.6209000763,141331.48260869566,186825.1131934033,85.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,11134.0,145847.08,1992.0,153961.59126984127,1.0,0.0,0.0,2225.0,0.0,0.0,0.0,713.0,183632.6209000763,141331.48260869566,186825.1131934033,88.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,4835.0,145847.08,2004.0,153961.59126984127,1.0,0.0,0.0,1488.0,0.0,0.0,0.0,506.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,1.0,0.0,0.0,0.0,0.0
191004.9947871416,3515.0,145847.08,2004.0,153961.59126984127,1.0,0.0,0.0,1680.0,0.0,0.0,0.0,588.0,183632.6209000763,141331.48260869566,186825.1131934033,39.0,1.0,0.0,0.0,0.0,0.0
191004.9947871416,3215.0,145847.08,2004.0,153961.59126984127,1.0,0.0,0.0,1200.0,0.0,0.0,0.0,480.0,183632.6209000763,141331.48260869566,186825.1131934033,31.5,1.0,0.0,0.0,0.0,0.0
